CMDLINE python main.py
CHLD 1 40.089844 1510389930.3817
MEM 61.402344 1510389930.4830
CHLD 0 1.886719 1510389930.5672
CHLD 1 40.496094 1510389930.5675
MEM 61.402344 1510389930.6689
CHLD 0 1.886719 1510389930.7538
CHLD 1 40.722656 1510389930.7541
MEM 61.402344 1510389930.8556
CHLD 0 1.886719 1510389930.9406
MEM 61.402344 1510389931.0420
CHLD 0 1.886719 1510389931.1244
MEM 61.402344 1510389931.2258
CHLD 0 1.886719 1510389931.3120
CHLD 1 1.617188 1510389931.3123
CHLD 2 7.273438 1510389931.3126
MEM 61.402344 1510389931.4140
CHLD 0 1.886719 1510389931.4969
CHLD 1 1.617188 1510389931.4972
CHLD 2 7.535156 1510389931.4975
MEM 61.433594 1510389931.5987
MEM 61.726562 1510389931.7826
MEM 61.816406 1510389931.9670
CHLD 0 1.867188 1510389932.0494
CHLD 1 13.988281 1510389932.0499
MEM 61.816406 1510389932.1512
CHLD 0 1.867188 1510389932.2325
CHLD 1 15.316406 1510389932.2328
MEM 61.816406 1510389932.3341
CHLD 0 1.867188 1510389932.4165
CHLD 1 17.226562 1510389932.4168
MEM 61.816406 1510389932.5182
CHLD 0 1.867188 1510389932.6038
CHLD 1 20.511719 1510389932.6042
MEM 61.816406 1510389932.7056
CHLD 0 1.867188 1510389932.7940
CHLD 1 21.917969 1510389932.7944
MEM 61.816406 1510389932.8957
CHLD 0 1.867188 1510389932.9857
CHLD 1 23.511719 1510389932.9861
MEM 61.816406 1510389933.0875
CHLD 0 1.867188 1510389933.1780
CHLD 1 25.195312 1510389933.1784
MEM 61.816406 1510389933.2800
CHLD 0 1.867188 1510389933.3752
CHLD 1 26.824219 1510389933.3755
MEM 61.816406 1510389933.4769
CHLD 0 1.867188 1510389933.5656
CHLD 1 28.222656 1510389933.5659
MEM 61.816406 1510389933.6673
CHLD 0 1.867188 1510389933.7581
CHLD 1 29.468750 1510389933.7586
MEM 61.816406 1510389933.8602
CHLD 0 1.867188 1510389933.9512
CHLD 1 30.835938 1510389933.9516
MEM 61.816406 1510389934.0530
CHLD 0 1.867188 1510389934.1390
CHLD 1 31.906250 1510389934.1394
MEM 61.816406 1510389934.2409
CHLD 0 1.867188 1510389934.3254
CHLD 1 32.644531 1510389934.3258
MEM 61.816406 1510389934.4271
CHLD 0 1.867188 1510389934.5133
CHLD 1 33.707031 1510389934.5136
MEM 61.816406 1510389934.6150
CHLD 0 1.867188 1510389934.6992
CHLD 1 34.316406 1510389934.6995
